open: ,18.0,    high: ,18.620001000000002,   low: ,17.649999999999999,  yester close: ,1.20296, volume: ,72583000,up
open: ,18.600000000000001,    high: ,19.299999,   low: ,18.16,  yester close: ,1.225633, volume: ,43911000,down
open: ,18.899999999999999,    high: ,19.140001000000002,   low: ,18.400001,  yester close: ,1.191948, volume: ,42933800,down
open: ,18.440000000000001,    high: ,18.829999999999998,   low: ,17.829999000000001,  yester close: ,1.1550229999999999, volume: ,59992800,down
open: ,17.739999999999998,    high: ,18.180001000000001,   low: ,17.280000000000001,  yester close: ,1.1550229999999999, volume: ,92173200,up
open: ,17.73,    high: ,18.600000000000001,   low: ,17.649999999999999,  yester close: ,1.201665, volume: ,54226200,down
open: ,18.5,    high: ,19.079999000000001,   low: ,18.180001000000001,  yester close: ,1.182231, volume: ,87053400,up
open: ,18.239999999999998,    high: ,18.949999999999999,   low: ,18.119999,  yester close: ,1.201665, volume: ,90014400,down
open: ,18.400001,    high: ,18.929998999999999,   low: ,17.649999999999999,  yester close: ,1.1478979999999999, volume: ,70592200,down
open: ,17.5,    high: ,18.100000000000001,   low: ,17.199999999999999,  yester close: ,1.1193950000000001, volume: ,60457600,up
open: ,17.0,    high: ,17.5,   low: ,16.920000000000002,  yester close: ,1.1252249999999999, volume: ,77211400,down
open: ,16.000001000000001,    high: ,17.07,   low: ,15.73,  yester close: ,1.100608, volume: ,114501800,down
open: ,16.899999999999999,    high: ,17.719999999999999,   low: ,16.170000000000002,  yester close: ,1.0546149999999999, volume: ,81775400,up
open: ,16.5,    high: ,17.099999,   low: ,15.6,  yester close: ,1.102552, volume: ,93329600,down
open: ,16.290001,    high: ,16.950001,   low: ,15.499998999999999,  yester close: ,1.015747, volume: ,102793600,up
open: ,14.800000000000001,    high: ,16.25,   low: ,14.680001000000001,  yester close: ,1.0189859999999999, volume: ,142629200,up
open: ,16.109999999999999,    high: ,16.84,   low: ,15.949999999999999,  yester close: ,1.0656270000000001, volume: ,73634400,down
open: ,16.140001000000002,    high: ,16.220001,   low: ,15.349998999999999,  yester close: ,1.006678, volume: ,93601200,down
open: ,15.81,    high: ,15.890000000000001,   low: ,14.93,  yester close: ,0.9814139999999999, volume: ,123449200,up
open: ,15.25,    high: ,15.75,   low: ,15.200001,  yester close: ,1.004734, volume: ,80560200,down
open: ,15.710001,    high: ,15.91,   low: ,15.390000000000001,  yester close: ,1.004734, volume: ,91277200,up
open: ,15.490001000000001,    high: ,15.99,   low: ,15.23,  yester close: ,1.006678, volume: ,52052000,down
open: ,15.429998999999999,    high: ,15.83,   low: ,14.880000000000001,  yester close: ,0.97493600000000002, volume: ,58970800,down
open: ,14.949999999999999,    high: ,15.359998999999998,   low: ,14.830001000000001,  yester close: ,0.97040100000000007, volume: ,170760800,up
open: ,15.349998999999999,    high: ,16.25,   low: ,14.989998999999999,  yester close: ,1.0287030000000001, volume: ,100280600,up
open: ,15.4,    high: ,16.150001,   low: ,14.989998999999999,  yester close: ,1.0455459999999999, volume: ,85671600,up
open: ,15.569998999999999,    high: ,16.350000000000001,   low: ,15.499998999999999,  yester close: ,1.0494319999999999, volume: ,51996000,down
open: ,16.050000000000001,    high: ,16.199999999999999,   low: ,15.630001000000002,  yester close: ,1.036476, volume: ,43506400,up
